"16880384","16880639","TH","Thailand","Udon Thani","Ban Phan Don"
"16880640","16880895","TH","Thailand","Songkhla","Hat Yai"
"16880896","16881151","TH","Thailand","Narathiwat","Yi-ngo"
"16881152","16881407","TH","Thailand","Nong Khai","Nong Khai"
"16881408","16881663","TH","Thailand","Songkhla","Hat Yai"
"16881664","16881919","TH","Thailand","Krabi","Ao Luek"
"16881920","16882175","TH","Thailand","Phatthalung","Bang Kaeo"
"16882176","16882431","TH","Thailand","Phuket","Phuket"
"16882432","16882687","TH","Thailand","Surat Thani","Surat Thani"
"16882688","16882943","TH","Thailand","Phuket","Phuket"
"16882944","16883199","TH","Thailand","Nakhon Si Thammarat","Chang Klang"
"16883200","16883711","TH","Thailand","Surat Thani","Ko Samui"
"16883712","16884223","TH","Thailand","Chiang Mai","Chiang Mai"
"16884224","16884479","TH","Thailand","Chiang Rai","Wiang Chai"
"16884480","16884735","TH","Thailand","Chiang Mai","Chiang Mai"
"16884736","16884991","TH","Thailand","Chiang Rai","Chiang Rai"
"16884992","16885759","TH","Thailand","Chiang Mai","Chiang Mai"
"16885760","16886015","TH","Thailand","Chiang Rai","Wiang Chai"
"16886016","16886271","TH","Thailand","Chiang Rai","Chiang Rai"
"16886272","16886527","TH","Thailand","Lampang","Lampang"
"16886528","16886783","TH","Thailand","Chiang Mai","Chiang Mai"
"16886784","16887039","TH","Thailand","Lamphun","Lamphun"
"16887040","16887295","TH","Thailand","Chiang Mai","Chiang Mai"
"16887296","16887551","TH","Thailand","Phayao","Phayao"
